@relation en5_model_m03_2013-16_ClassC-1-LJ_22p-class4-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.instance.SMOTE-C3-K5-P1.0-S1-weka.filters.supervised.instance.SMOTE-C1-K5-P84.31-S1-weka.filters.supervised.instance.SMOTE-C4-K5-P183.45-S1

@attribute weekday numeric
@attribute weekend numeric
@attribute r_sava_sentjakob numeric
@attribute r_ljubljanica_moste numeric
@attribute s_lj_temp_avg numeric
@attribute s_lj_temp_max numeric
@attribute s_lj_temp_min numeric
@attribute s_lj_wind_speed numeric
@attribute s_lj_cloudiness numeric
@attribute s_lj_humidity numeric
@attribute s_lj_rainfall numeric
@attribute s_lj_snow_high numeric
@attribute s_lj_snow_new numeric
@attribute s_lj_sunshine_duration numeric
@attribute s_lj_wind_strong numeric
@attribute s_lj_wind_storm numeric
@attribute s_lj_thunderstorm numeric
@attribute s_lj_freezing_rain numeric
@attribute s_lj_hail numeric
@attribute s_lj_frost numeric
@attribute class4_callin_slo {1,2,3,4}

@data
0.666667,0,0.054031,0.059649,0.16573,0.132584,0.415789,0.222222,1,0.793651,0.037956,0.698113,0.2,0,0,0,0,0,0,0,3
0.833333,0.5,0.054031,0.059649,0.16573,0.123596,0.376316,0.142857,0.93,0.825397,0.00146,0.622642,0,0,0,0,0,0,0,0,3
1,1,0.054031,0.059649,0.227528,0.166292,0.442105,0.095238,1,0.952381,0.013869,0.490566,0,0,0,0,0,0,0,0,2
0,0,0.054031,0.329825,0.247191,0.186517,0.476316,0.095238,1,0.952381,0.107299,0.245283,0,0,0,0,0,0,0,0,2
0.166667,0,0.054031,0.477193,0.224719,0.164045,0.468421,0.142857,0.97,0.920635,0.086131,0.188679,0.033333,0,0,0,0,0,0,0,3
0.333333,0,0.054031,0.329825,0.230337,0.202247,0.473684,0.174603,0.9,0.857143,0.059854,0.150943,0.033333,0.094595,0,0,0,0,0,0,2
0.5,0,0.054031,0.175439,0.22191,0.164045,0.460526,0.206349,0.97,0.809524,0.013139,0.132075,0,0,0,0,0,0,0,0,3
0.666667,0,0.054031,0.175439,0.146067,0.141573,0.434211,0.380952,0.9,0.571429,0.00219,0.113208,0,0.060811,0,0,0,0,0,0,3
0.833333,0.5,0.054031,0.175439,0.081461,0.074157,0.344737,0.174603,0.63,0.492063,0,0.09434,0,0.317568,0,0,0,0,0,0,3
1,1,0.054031,0.175439,0.123596,0.141573,0.336842,0.190476,0.7,0.52381,0,0.09434,0,0.27027,0,0,0,0,0,0,2
0,0,0.054031,0.175439,0.199438,0.175281,0.357895,0.174603,1,0.777778,0,0.09434,0,0,0,0,0,0,0,0,2
0.166667,0,0.054031,0.175439,0.303371,0.283146,0.471053,0.412698,0.87,0.571429,0.011679,0.09434,0,0.263514,0,0,0,0,0,0,3
0.333333,0,0.054031,0.175439,0.275281,0.267416,0.371053,0.253968,0.4,0.634921,0,0.056604,0,0.310811,0,0,0,0,0,0,3
0.5,0,0.054031,0.175439,0.331461,0.350562,0.371053,0.285714,0.1,0.571429,0,0.056604,0,0.533784,0,0,0,0,0,0,3
0.666667,0,0.066038,0.235088,0.264045,0.238202,0.365789,0.142857,0.83,0.698413,0,0,0,0.027027,0,0,0,0,0,0,3
0.833333,0.5,0.066038,0.235088,0.25,0.244944,0.542105,0.380952,1,0.920635,0.083212,0,0,0,1,0,1,0,0,0,4
1,1,0.066038,0.235088,0.219101,0.233708,0.463158,0.222222,0.53,0.666667,0.378832,0.075472,0.133333,0.310811,0,0,0,0,0,0,2
0,0,0.066038,0.235088,0.289326,0.305618,0.297368,0.412698,0.43,0.365079,0,0.056604,0,0.493243,0,0,0,0,0,0,3
0.166667,0,0.066038,0.235088,0.280899,0.238202,0.326316,0.15873,1,0.666667,0,0,0,0,0,0,0,0,0,0,2
0.333333,0,0.066038,0.235088,0.210674,0.206742,0.476316,0.126984,0.97,0.952381,0.040146,0,0,0,0,0,1,0,0,0,3
0.5,0,0.066038,0.235088,0.157303,0.134831,0.410526,0.222222,0.77,0.825397,0.175182,0.169811,0.3,0,0,0,0,0,0,0,3
0.666667,0,0.066038,0.235088,0.134831,0.134831,0.255263,0.111111,1,0.761905,0,0.132075,0,0,0,0,0,0,0,0,2
0.833333,0.5,0.066038,0.235088,0.129213,0.101124,0.321053,0.15873,0.97,0.793651,0,0.132075,0,0,0,0,0,0,0,0,2
1,1,0.066038,0.235088,0.092697,0.155056,0.123684,0.126984,0.37,0.809524,0.041606,0.207547,0.133333,0.290541,0,0,0,0,0,0,2
0,0,0.066038,0.235088,0.075843,0.053933,0.052632,0.015873,1,0.84127,0.00146,0.207547,0,0,0,0,0,0,0,0,4
0.166667,0,0.066038,0.235088,0.168539,0.125843,0.3,0.063492,1,0.809524,0.125547,0.509434,0.566667,0,0,0,0,0,0,0,3
0.333333,0,0.066038,0.235088,0.168539,0.116854,0.397368,0.111111,1,0.920635,0.00365,0.45283,0,0,0,0,0,0,0,0,3
0.5,0,0.066038,0.235088,0.213483,0.170787,0.347368,0.126984,0.97,0.809524,0.027007,0.528302,0.133333,0,0,0,0,0,0,0,1
0.666667,0,0.066038,0.235088,0.219101,0.175281,0.478947,0.111111,1,0.809524,0,0.396226,0,0.040541,0,0,0,0,0,0,1
0.833333,0.5,0.066038,0.235088,0.235955,0.197753,0.444737,0.174603,0.63,0.714286,0,0.339623,0,0.013514,0,0,0,0,0,0,1
1,1,0.066038,0.235088,0.235955,0.197753,0.389474,0.079365,1,0.68254,0,0.264151,0,0,0,0,0,0,0,0,1
0,0,0.066038,0.235088,0.22191,0.186517,0.468421,0.174603,0.87,0.666667,0,0.207547,0,0,0,0,0,0,0,0,3
0.166667,0,0.066038,0.235088,0.199438,0.208989,0.221053,0.126984,0.73,0.555556,0,0.207547,0,0.385135,0,0,0,0,0,0,3
0.333333,0,0.066038,0.235088,0.188202,0.197753,0.35,0.269841,0.97,0.730159,0,0.188679,0,0.148649,0,0,0,0,0,0,2
0.5,0,0.066038,0.235088,0.120787,0.101124,0.405263,0.412698,1,0.714286,0.00438,0.226415,0.1,0,0,0,0,0,0,0,2
0.666667,0,0.066038,0.091228,0.095506,0.085393,0.342105,0.301587,0.97,0.761905,0.064234,0.471698,0.4,0,0,0,0,0,0,0,4
0.833333,0.5,0.066038,0.091228,0.13764,0.141573,0.278947,0.015873,1,0.761905,0.09781,0.754717,0.7,0.033784,0,0,0,0,0,0,3
1,1,0.066038,0.091228,0.185393,0.141573,0.431579,0.095238,1,0.936508,0.248905,1,0.8,0,0,0,0,0,0,0,3
0,0,0.033448,0.091228,0.185393,0.164045,0.436842,0.126984,1,0.920635,0.09562,0.943396,0.066667,0,0,0,0,0,0,0,3
0.166667,0,0.033448,0.091228,0.227528,0.188764,0.447368,0.079365,1,0.904762,0.00219,0.773585,0.033333,0,0,0,0,0,0,0,3
0.333333,0,0.033448,0.235088,0.238764,0.179775,0.476316,0.047619,1,0.873016,0.027737,0.584906,0,0,0,0,0,0,0,0,3
0.5,0,0.033448,0.235088,0.266854,0.229213,0.478947,0.095238,1,0.793651,0.008029,0.433962,0,0,0,0,0,0,0,0,4
0.666667,0,0.033448,0.140351,0.272472,0.34382,0.436842,0.126984,0.37,0.730159,0,0.377358,0,0.391892,0,0,0,0,0,0,3
0.833333,0.5,0.033448,0.140351,0.255618,0.280899,0.373684,0.238095,0.37,0.444444,0,0.301887,0,0.432432,0,0,0,0,0,0,3
1,1,0.033448,0.140351,0.224719,0.323596,0.255263,0.126984,0.03,0.444444,0,0.283019,0,0.635135,0,0,0,0,0,0,3
0,0,0.033448,0.140351,0.22191,0.292135,0.257895,0.174603,0,0.507937,0,0.226415,0,0.641892,0,0,0,0,0,0,3
0.166667,0,0.033448,0.140351,0.272472,0.298876,0.294737,0.095238,0.6,0.52381,0,0.188679,0,0.378378,0,0,0,0,0,0,2
0.333333,0,0.033448,0.140351,0.289326,0.231461,0.505263,0.142857,1,0.920635,0.00365,0.169811,0,0,0,0,0,0,0,0,2
0.5,0,0.100343,0.484211,0.345506,0.28764,0.526316,0.063492,1,0.904762,0.072263,0.113208,0,0,0,0,0,0,0,0,3
0.666667,0,0.100343,0.484211,0.435393,0.397753,0.547368,0.174603,0.8,0.793651,0.018978,0.09434,0,0.081081,0,0,0,0,0,0,3
0.833333,0.5,0.100343,0.484211,0.382022,0.316854,0.526316,0.047619,0.97,0.920635,0.00073,0,0,0,0,0,0,0,0,0,3
1,1,0.100343,0.484211,0.36236,0.278652,0.6,0.126984,1,0.936508,0.10073,0,0,0,0,0,0,0,0,0,2
0,0,0.247856,0.484211,0.36236,0.368539,0.557895,0.15873,0.7,0.809524,0.039416,0,0,0.182432,0,0,0,0,0,0,3
0.166667,0,0.247856,0.484211,0.367978,0.280899,0.542105,0.190476,1,0.904762,0,0,0,0,0,0,0,0,0,0,2
0.333333,0,0.247856,0.484211,0.328652,0.289888,0.565789,0.238095,1,0.936508,0.021898,0,0,0,0,0,0,0,0,0,3
0.5,0,0.100343,0.484211,0.210674,0.213483,0.544737,0.380952,0.97,0.634921,0.127737,0,0,0,1,0,0,0,0,0,3
0.666667,0,0.100343,0.484211,0.202247,0.213483,0.418421,0.31746,0.63,0.238095,0.048905,0,0,0.418919,0,0,0,0,0,0,3
0.833333,0.5,0.100343,0.484211,0.191011,0.222472,0.25,0.269841,0.07,0.238095,0,0,0,0.682432,0,0,0,0,0,0,3
1,1,0.100343,0.484211,0.230337,0.175281,0.368421,0.079365,0.87,0.571429,0,0,0,0.013514,0,0,0,0,0,0,1
0,0,0.100343,0.484211,0.210674,0.14382,0.439474,0.142857,1,0.952381,0.024818,0,0,0,0,0,1,0,0,0,3
0.166667,0,0.100343,0.484211,0.367978,0.4,0.444737,0.238095,0.3,0.444444,0.346715,0.09434,0.166667,0.608108,0,0,0,0,0,0,3
0.333333,0,0.100343,0.484211,0.384831,0.395506,0.378947,0.222222,0.63,0.492063,0,0,0,0.432432,0,0,0,0,0,0,3
0.5,0,0.100343,0.484211,0.410112,0.417978,0.560526,0.412698,0.53,0.174603,0.013139,0,0,0.445946,1,0,0,0,0,0,2
0.666667,0,0.100343,0.484211,0.356742,0.424719,0.378947,0.253968,0,0.190476,0,0,0,0.75,0,0,0,0,0,0,3
0.833333,0.5,0.100343,0.484211,0.261236,0.258427,0.384211,0.253968,0.8,0.365079,0,0,0,0.256757,0,0,0,0,0,0,3
1,1,0.100343,0.484211,0.148876,0.18427,0.444737,0.349206,1,0.825397,0.00292,0.056604,0.1,0,0,0,0,0,0,0,2
0,0,0.100343,0.484211,0.095506,0.060674,0.386842,0.365079,1,0.698413,0.025547,0.075472,0.033333,0,0,0,0,0,0,0,4
0.166667,0,0.100343,0.484211,0.140449,0.134831,0.368421,0.206349,1,0.746032,0.075912,0.320755,0.433333,0,0,0,0,0,0,0,3
0.333333,0,0.100343,0.484211,0.157303,0.137079,0.344737,0.15873,0.97,0.52381,0.032847,0.245283,0.033333,0,0,0,0,0,0,0,3
0.5,0,0.100343,0.484211,0.283708,0.305618,0.186842,0.079365,0.53,0.460317,0,0.188679,0,0.560811,0,0,0,0,0,0,3
0.666667,0,0.100343,0.484211,0.308989,0.253933,0.542105,0.142857,1,0.920635,0.09781,0,0,0,0,0,0,0,0,0,3
0.833333,0.5,0.100343,0.680702,0.292135,0.224719,0.552632,0.126984,1,0.952381,0.138686,0,0,0,0,0,0,0,0,0,2
1,1,0.100343,0.768421,0.275281,0.208989,0.55,0.206349,1,0.873016,0.184672,0,0,0,0,0,0,0,0,0,3
0,0,0.129503,0.789474,0.233146,0.173034,0.505263,0.206349,1,0.793651,0.115328,0,0,0,0,0,0,0,0,0,2
0.166667,0,0.129503,0.680702,0.22191,0.204494,0.473684,0.365079,1,0.84127,0.026277,0,0,0,0,0,0,0,0,0,3
0.333333,0,0.129503,0.575439,0.269663,0.235955,0.481579,0.222222,1,0.777778,0.065693,0,0,0,0,0,0,0,0,0,3
0.5,0,0.129503,0.435088,0.351124,0.298876,0.523684,0.15873,0.93,0.587302,0.00438,0,0,0.067568,0,0,0,0,0,0,3
0.666667,0,0.073756,0.435088,0.331461,0.276404,0.555263,0.15873,1,0.873016,0.014599,0,0,0,0,0,0,0,0,0,3
0.833333,0.5,0.073756,0.435088,0.353933,0.269663,0.584211,0.190476,1,0.761905,0.073723,0,0,0,0,0,0,0,0,0,3
1,1,0.073756,0.435088,0.351124,0.28764,0.592105,0.52381,0.93,0.285714,0.007299,0,0,0.081081,1,0,0,0,0,0,2
0,0,0.073756,0.435088,0.373596,0.321348,0.513158,0.269841,0.87,0.238095,0,0,0,0.27027,0,0,0,0,0,0,3
0.166667,0,0.129503,0.435088,0.432584,0.411236,0.586842,0.031746,0.8,0.396825,0.00073,0,0,0.283784,1,0,0,0,0,0,3
0.333333,0,0.129503,0.435088,0.466292,0.447191,0.468421,0.380952,0.23,0.396825,0.00365,0,0,0.75,0,0,0,0,0,0,3
0.5,0,0.129503,0.435088,0.494382,0.480899,0.518421,0.47619,0.83,0.365079,0,0,0,0.398649,1,0,0,0,0,0,3
0.666667,0,0.166381,0.435088,0.491573,0.382022,0.697368,0.174603,0.97,0.857143,0,0,0,0.02027,0,0,1,0,0,0,3
0.833333,0.5,0.204117,0.435088,0.5,0.485393,0.615789,0.206349,0.57,0.571429,0.151095,0,0,0.47973,0,0,1,0,0,0,3
1,1,0.166381,0.435088,0.615169,0.582022,0.468421,0.142857,0.13,0.238095,0.022628,0,0,0.763514,0,0,0,0,0,0,3
0,0,0.129503,0.435088,0.626404,0.58427,0.565789,0.31746,0.37,0.190476,0,0,0,0.72973,0,0,0,0,0,0,3
0.166667,0,0.129503,0.435088,0.595506,0.534831,0.631579,0.142857,0.7,0.111111,0,0,0,0.452703,0,0,0,0,0,0,3
0.333333,0,0.129503,0.435088,0.657303,0.635955,0.581579,0.015873,0.5,0.238095,0,0,0,0.648649,0,0,0,0,0,0,3
0.5,0,0.129503,0.435088,0.713483,0.703371,0.586842,0.142857,0.27,0.285714,0,0,0,0.837838,0,0,0,0,0,0,3
0.666667,0,0.129503,0.435088,0.601124,0.568539,0.665789,0.253968,0.63,0.603175,0,0,0,0.162162,0,0,0,0,0,0,4
0.833333,0.5,0.129503,0.435088,0.603933,0.525843,0.618421,0.190476,0.77,0.365079,0,0,0,0.243243,0,0,0,0,0,0,3
1,1,0.129503,0.435088,0.547753,0.568539,0.578947,0.206349,0.87,0.539683,0,0,0,0.513514,1,0,1,0,0,0,3
0,0,0.129503,0.435088,0.491573,0.411236,0.626316,0.190476,1,0.825397,0.152555,0,0,0,0,0,0,0,0,0,3
0.166667,0,0.129503,0.435088,0.573034,0.557303,0.715789,0.333333,0.47,0.396825,0.025547,0,0,0.567568,0,0,0,0,0,0,3
0.333333,0,0.129503,0.277193,0.620787,0.624719,0.513158,0.47619,0.03,0.206349,0.00073,0,0,0.885135,1,0,0,0,0,0,4
0.5,0,0.129503,0.277193,0.660112,0.705618,0.531579,0.253968,0.03,0.253968,0,0,0,0.891892,0,0,0,0,0,0,4
0.666667,0,0.129503,0.277193,0.676966,0.653933,0.6,0.428571,0.47,0.126984,0,0,0,0.722973,1,0,0,0,0,0,4
0.833333,0.5,0.129503,0.277193,0.626404,0.537079,0.768421,0.365079,0.87,0.555556,0,0,0,0.182432,0,0,0,0,0,0,3
1,1,0.129503,0.277193,0.648876,0.568539,0.789474,0.603175,0.73,0.571429,0,0,0,0.412162,1,0,0,0,0,0,1
0,0,0.129503,0.277193,0.699438,0.642697,0.647368,0.253968,0.93,0.365079,0,0,0,0.385135,0,0,0,0,0,0,3
0.166667,0,0.129503,0.277193,0.688202,0.683146,0.631579,0.412698,0.57,0.349206,0,0,0,0.547297,1,0,0,0,0,0,4
0.333333,0,0.140652,0.231579,0.780899,0.748315,0.657895,0.15873,0.37,0.285714,0,0,0,0.655405,0,0,0,0,0,0,3
0.5,0,0.140652,0.231579,0.63764,0.61573,0.821053,0.079365,0.97,0.714286,0,0,0,0,0,0,0,0,0,0,1
0.666667,0,0.140652,0.101754,0.69382,0.617978,0.821053,0.492063,0.57,0.349206,0.021898,0,0,0.783784,1,0,0,0,0,0,3
0.833333,0.5,0.140652,0.101754,0.63764,0.647191,0.689474,0.349206,0.77,0.777778,0,0,0,0.635135,0,0,1,0,1,0,4
1,1,0.140652,0.101754,0.573034,0.48764,0.736842,0.222222,0.97,0.761905,0.065693,0,0,0,0,0,1,0,0,0,2
0,0,0.140652,0.101754,0.581461,0.483146,0.802632,0.174603,1,0.904762,0.114599,0,0,0.02027,0,0,0,0,0,0,3
0.166667,0,0.140652,0.101754,0.623596,0.588764,0.802632,0.222222,0.83,0.761905,0.128467,0,0,0.189189,0,0,1,0,0,0,4
0.333333,0,0.140652,0.231579,0.66573,0.626966,0.776316,0.238095,0.6,0.619048,0.010949,0,0,0.493243,0,0,0,0,0,0,3
0.5,0,0.140652,0.231579,0.682584,0.647191,0.673684,0.253968,0.47,0.539683,0.00073,0,0,0.655405,0,0,0,0,0,0,3
0.666667,0,0.140652,0.231579,0.648876,0.635955,0.697368,0.111111,0.9,0.714286,0,0,0,0.425676,1,0,1,0,0,0,4
0.833333,0.5,0.140652,0.4,0.519663,0.480899,0.771053,0.301587,1,0.920635,0.318978,0,0,0.006757,0,0,0,0,0,0,2
1,1,0.140652,0.484211,0.542135,0.492135,0.768421,0.301587,0.87,0.666667,0.113869,0,0,0.081081,0,0,0,0,0,0,2
0,0,0.140652,0.4,0.589888,0.555056,0.7,0.190476,0.43,0.174603,0.010949,0,0,0.722973,0,0,0,0,0,0,3
0.166667,0,0.140652,0.231579,0.634831,0.620225,0.584211,0.301587,0.13,0.301587,0,0,0,0.966216,0,0,0,0,0,0,4
0.333333,0,0.140652,0.231579,0.657303,0.653933,0.594737,0.333333,0.23,0.365079,0,0,0,0.736486,1,0,0,0,0,0,4
0.5,0,0.140652,0.231579,0.542135,0.462921,0.676316,0.174603,0.97,0.825397,0,0,0,0,0,0,0,0,0,0,3
0.666667,0,0.183533,0.231579,0.547753,0.465169,0.755263,0.142857,0.97,0.888889,0.069343,0,0,0.013514,0,0,0,0,0,0,3
0.833333,0.5,0.227273,0.231579,0.623596,0.573034,0.618421,0.412698,0.23,0.222222,0.105839,0,0,0.972973,1,0,0,0,0,0,3
1,1,0.183533,0.231579,0.567416,0.582022,0.618421,0.539683,0.8,0.492063,0,0,0,0.513514,1,0,0,0,0,0,2
0,0,0.140652,0.231579,0.598315,0.557303,0.671053,0.396825,0.53,0.301587,0.041606,0,0,0.662162,1,0,1,0,0,0,3
0.166667,0,0.140652,0.231579,0.561798,0.541573,0.652632,0.571429,0.37,0.47619,0.053285,0,0,0.878378,1,0,0,0,0,0,3
0.333333,0,0.09434,0.231579,0.640449,0.593258,0.652632,0.206349,0.53,0.253968,0,0,0,0.804054,0,0,0,0,0,0,3
0.5,0,0.09434,0.231579,0.533708,0.494382,0.739474,0.396825,0.9,0.349206,0.027007,0,0,0,0,0,0,0,0,0,3
0.666667,0,0.09434,0.231579,0.384831,0.379775,0.663158,0.269841,1,0.936508,0.064234,0,0,0.006757,0,0,0,0,0,0,2
0.833333,0.5,0.09434,0.231579,0.421348,0.346067,0.615789,0.111111,0.93,0.84127,0.145985,0,0,0.027027,0,0,0,0,0,0,3
1,1,0.140652,0.231579,0.474719,0.458427,0.655263,0.396825,0.87,0.634921,0.065693,0,0,0.391892,1,0,1,0,0,0,1
0,0,0.140652,0.231579,0.561798,0.537079,0.684211,0.333333,0.5,0.460317,0.013869,0,0,0.702703,1,0,0,0,0,0,3
0.166667,0,0.140652,0.231579,0.609551,0.566292,0.689474,0.365079,0.53,0.396825,0,0,0,0.567568,0,0,0,0,0,0,2
0.333333,0,0.140652,0.231579,0.598315,0.564045,0.655263,0.222222,0.8,0.52381,0,0,0,0.304054,0,0,0,0,0,0,3
0.5,0,0.140652,0.231579,0.463483,0.449438,0.721053,0.206349,1,0.920635,0.021168,0,0,0,0,0,0,0,0,0,2
0.666667,0,0.140652,0.231579,0.483146,0.388764,0.694737,0.15873,1,0.793651,0.139416,0,0,0,0,0,0,0,0,0,3
0.833333,0.5,0.15952,0.242105,0.544944,0.516854,0.697368,0.206349,0.93,0.650794,0.031387,0,0,0.344595,0,0,0,0,0,0,3
1,1,0.140652,0.224561,0.617978,0.552809,0.744737,0.222222,0.8,0.460317,0.035036,0,0,0.222973,0,0,0,0,0,0,2
0,0,0.106346,0.189474,0.634831,0.58427,0.647368,0.190476,0.73,0.396825,0.00073,0,0,0.655405,0,0,0,0,0,0,3
0.166667,0,0.062607,0.101754,0.634831,0.568539,0.731579,0.111111,0.73,0.571429,0.00146,0,0,0.297297,0,0,0,0,0,0,3
0.333333,0,0.062607,0.101754,0.643258,0.617978,0.763158,0.222222,0.67,0.571429,0,0,0,0.506757,0,0,0,0,0,0,3
0.5,0,0.062607,0.101754,0.651685,0.653933,0.781579,0.079365,0.77,0.603175,0.005839,0,0,0.385135,0,0,1,0,0,0,3
0.666667,0,0.062607,0.101754,0.668539,0.647191,0.807895,0.238095,0.9,0.666667,0,0,0,0.554054,1,0,1,0,0,0,4
0.833333,0.5,0.062607,0.101754,0.646067,0.676404,0.781579,0.15873,0.6,0.698413,0.086131,0,0,0.439189,0,0,1,0,1,0,4
1,1,0.062607,0.101754,0.688202,0.696629,0.763158,0.301587,0.8,0.666667,0.178832,0,0,0.405405,0,0,0,0,0,0,3
0,0,0.062607,0.101754,0.66573,0.613483,0.792105,0.047619,0.67,0.47619,0.032847,0,0,0.621622,1,0,1,0,0,0,3
0.166667,0,0.062607,0.101754,0.674157,0.624719,0.771053,0.238095,0.7,0.507937,0.00073,0,0,0.337838,0,0,0,0,0,0,3
0.333333,0,0.062607,0.101754,0.716292,0.685393,0.707895,0.206349,0.33,0.285714,0.00073,0,0,0.844595,0,0,0,0,0,0,3
0.5,0,0.062607,0.101754,0.75,0.705618,0.678947,0.111111,0.07,0.301587,0,0,0,0.993243,0,0,0,0,0,0,4
0.666667,0,0.062607,0.101754,0.794944,0.730337,0.728947,0.238095,0.3,0.349206,0,0,0,0.918919,0,0,0,0,0,0,4
0.833333,0.5,0.062607,0.101754,0.839888,0.775281,0.792105,0.285714,0.13,0.333333,0,0,0,0.918919,0,0,0,0,0,0,4
1,1,0.062607,0.101754,0.879213,0.804494,0.839474,0.253968,0.1,0.349206,0,0,0,0.966216,0,0,0,0,0,0,3
0,0,0.036878,0.101754,0.918539,0.840449,0.863158,0.190476,0.13,0.365079,0,0,0,0.972973,0,0,0,0,0,0,3
0.166667,0,0.036878,0.101754,0.949438,0.867416,0.878947,0.15873,0.3,0.349206,0,0,0,0.959459,0,0,0,0,0,0,4
0.333333,0,0.036878,0.101754,0.955056,0.874157,0.910526,0.238095,0.13,0.285714,0,0,0,0.966216,0,0,0,0,0,0,4
0.5,0,0.036878,0.101754,0.941011,0.862921,0.860526,0.333333,0.1,0.222222,0,0,0,0.993243,0,0,0,0,0,0,4
0.666667,0,0.062607,0.101754,0.890449,0.8,0.878947,0.349206,0.17,0.31746,0,0,0,0.966216,0,0,0,0,0,0,4
0.833333,0.5,0.062607,0.101754,0.856742,0.782022,0.807895,0.285714,0.53,0.285714,0,0,0,0.891892,0,0,0,0,0,0,4
1,1,0.062607,0.101754,0.792135,0.741573,0.815789,0.31746,0.27,0.571429,0,0,0,0.743243,0,0,0,0,0,0,3
0,0,0.062607,0.101754,0.575843,0.555056,0.889474,0.492063,0.87,0.873016,0.080292,0,0,0.087838,1,0,1,0,0,0,3
0.166667,0,0.062607,0.02807,0.626404,0.570787,0.7,0.126984,0.83,0.634921,0.228467,0,0,0.054054,0,0,0,0,0,0,3
0.333333,0,0.062607,0.02807,0.587079,0.591011,0.707895,0.269841,0.63,0.619048,0,0,0,0.5,1,0,1,0,0,0,3
0.5,0,0.062607,0.02807,0.592697,0.534831,0.778947,0.269841,0.57,0.507937,0.081752,0,0,0.412162,0,0,0,0,0,0,3
0.666667,0,0.062607,0.02807,0.598315,0.546067,0.657895,0.285714,0.8,0.507937,0,0,0,0.317568,0,0,0,0,0,0,3
